,job,money,skill,ink,area,jobDes,inkDes
195,运维工程师,10k-15k,软件服务｜咨询 SQL Server PostgreSQL(PSQL) Linux IIS、Nginx、Tomc,东方华数,[北京·雁栖],“团队氛围nice、领导优秀、福利多多、军工企业”,软件服务｜咨询 / 不需要融资 / 50-150人
196,运维工程师,12k-16k,金融业 JAVA linux,广州亿博,[北京·郁花园],“五险一金.双休.”,移动互联网 / 不需要融资 / 150-500人
197,音视频运维工程师,4k-5k,IT技术服务｜咨询 网络通信 Linux,锦税信息,[成都·东坡],“五险一金”,"软件服务｜咨询,IT技术服务｜咨询,专业服务｜咨询 / 未融资 / 50-150人"
198,系统运维工程师,8k-12k,Python Linux MySQL 硬件开发,武汉安天,[武汉·东湖新…],"“年底13,年终奖,免费班车,弹性工作”",信息安全 / 未融资 / 150-500人
199,ETL运维工程师,5k-10k,ORACLE MySQL JAVA,财新数据科技有限公司,[武汉·光谷],“五险一金 定期体检 周末双休”,金融业 / 未融资 / 50-150人
200,云平台运维工程师,13k-20k,科技金融 Python Linux Shell Kubernetes(K8s) Swam Docker,裕泽商务服务,[上海·徐家汇],“五险一金 节日福利 公司团建 双休”,"营销服务｜咨询,专业服务｜咨询 / 未融资 / 15-50人"
201,云网络运维-天津-01241,10k-20k,IT技术服务｜咨询 软件服务｜咨询 Zabbix 防火墙 SDN BGP,紫光云,[天津·滨海新…],“补充保险 文体社团 公寓式宿舍”,"移动互联网,数据服务 / 不需要融资 / 500-2000人"
202,高级运维工程师,12k-20k,游戏 JAVA MySQL,宜搜,[深圳·后海],"“五险一金,周末双休，发展空间大”","游戏,内容社区 / D轮及以上 / 150-500人"
203,运维工程师 (MJ000030),8k-15k,游戏 IT技术服务｜咨询 Python,钛核互动,[北京·四惠],“优秀团队 住房补贴 项目将近”,游戏 / B轮 / 150-500人
204,运维工程师,9k-14k,软件服务｜咨询 IT技术服务｜咨询 Python Linux PostgreSQL(PSQL) 工业软件,天垂科技,[杭州·西兴],“周末双休，五险一金，技术大牛”,"数据服务｜咨询,软件服务｜咨询 / A轮 / 50-150人"
205,桌面运维工程师,8k-12k,IT技术服务｜咨询 科技金融 Windows Linux,京北方,[上海·陆家嘴],“奖金，补贴”,IT技术服务｜咨询 / 上市公司 / 2000人以上
206,java运维工程师,10k-15k,ORACLE Tomcat,中科软,[北京·大兴区],“日常补助，年底奖金、年度两次调薪、免费体检”,IT技术服务｜咨询 / 上市公司 / 2000人以上
207,资深运维开发工程师,20k-40k,节日礼物 技能培训 免费班车 带薪年假,网易,[上海·张江],"“午晚包餐,年底双薪,年终奖金”","内容资讯,游戏,音频｜视频媒体 / 上市公司 / 2000人以上"
208,交付运维工程师,13k-15k,人工智能服务 Python Shell Kubernetes(K8s) Swam Docker,微创软件,[北京·西二旗],“大厂、周末双休、六险一金”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
209,运维工程师,15k-30k,营销服务｜咨询 文化传媒 SQL XML MySQL Linux Swam Docker,蓝标传媒,[北京·大山子],“上市大公司，晋升发展透明”,营销服务｜咨询 / 不需要融资 / 500-2000人
210,交付运维工程师(j10616),11k-15k,数据服务｜咨询 IT技术服务｜咨询 Hadoop Linux Kubernetes(K8s),神策数据,[成都·高新区],“不打卡 五险一金 餐补 体检”,数据服务｜咨询 / D轮及以上 / 500-2000人
211,devops运维开发工程师,20k-28k,电商平台 Python GO Linux Kubernetes(K8s) Swam Docker,CLPS,[上海·张江],“六险一金，零加班，14天带薪年假，早餐下午茶”,软件服务｜咨询 / 上市公司 / 500-2000人
212,交付运维工程师,13k-15k,人工智能服务 JAVA Shell Linux Kubernetes(K8s) Swam Docker,微创软件,[深圳·科技园],“六险一金、周末双休、学习氛围强”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
213,桌面运维工程师,8k-10k,IT技术服务｜咨询 Windows 视频会议 跳线 电话线,京北方,[北京·王府井],“不加班 稳定”,IT技术服务｜咨询 / 上市公司 / 2000人以上
214,Managed Services Consultant开发运维顾问,20k-30k,Python,Veeva System维我软件,[大连·沙河口…],“行业领先外资企业”,"软件服务｜咨询,IT技术服务｜咨询,医疗｜保健｜美容 / 上市公司 / 2000人以上"
215,运维工程师（合肥）,10k-20k,人工智能服务 Python Hadoop Linux,神策数据,[合肥·高新区],"“七险一金,午餐补助,14薪”",数据服务｜咨询 / D轮及以上 / 500-2000人
216,系统运维工程师,12k-18k,软件服务｜咨询 MySQL scm,楚星软件,[惠州·惠城区],“五险一金，年终奖，节日礼品，定期体检”,数据服务｜咨询 / 未融资 / 50-150人
217,运维工程师,10k-18k,科技金融 区块链 Linux,Pundi-Pundi,[深圳·南山区],“高薪、IMac办公、奖金激励”,科技金融 / 不需要融资 / 50-150人
218,软件运维工程师,5k-8k,软件服务｜咨询 C语言 ORACLE SQL,上海企望,[郑州·金水区],“技术大亨、晋升空间 、行业前景 、专业培训”,软件服务｜咨询 / 未融资 / 50-150人
219,软件运维工程师,5k-8k,软件服务｜咨询 ORACLE MySQL SQL,上海企望,[合肥·蜀山区],“技术大亨、晋升空间 、行业前景 、专业培训”,软件服务｜咨询 / 未融资 / 50-150人
220,运维开发工程师(J10114),15k-30k,软件服务｜咨询 物流平台 GO Python,中通快递,[上海·青浦区],“带薪年假 班车 宿舍 食堂 全额社保公积金等”,物流｜运输 / 上市公司 / 2000人以上
221,it运维工程师,15k-30k,软件服务｜咨询 Windows,联方电子,[宁波·鄞州区],“薪资待遇优厚，周末双休，加班少”,制造业 / A轮 / 15-50人
222,实施运维工程师,15k-30k,科技金融 IDS Kubernetes(K8s) Grafana TCP/IP,国家金融科技测评中心,[成都·武侯区],“重点项目 绩效激励 技术大牛带队”,科技金融 / 不需要融资 / 150-500人
223,运维开发,15k-30k,软件服务｜咨询 Python,即构科技,[深圳·南山区],"“腾讯团队,弹性工作制,技术氛围好,加班少”",软件服务｜咨询 / C轮 / 500-2000人
224,运维架构师,20k-30k,软件服务｜咨询 人工智能服务 Kubernetes(K8s) Swam Docker Zabbix TCP/IP,华栖云,[成都·高新区],“IPO”,"人工智能服务,IT技术服务｜咨询 / B轮 / 150-500人"
225,运维开发,15k-30k,软件服务｜咨询 Python,即构科技,[深圳·南山区],"“腾讯团队,弹性工作制,技术氛围好,加班少”",软件服务｜咨询 / C轮 / 500-2000人
226,运维架构师,20k-30k,软件服务｜咨询 人工智能服务 Kubernetes(K8s) Swam Docker Zabbix TCP/IP,华栖云,[成都·高新区],“IPO”,"人工智能服务,IT技术服务｜咨询 / B轮 / 150-500人"
227,运维测试工程师,10k-18k,IT技术服务｜咨询 网络通信 JAVA Linux,亚信,[北京·小关],“上市公司 重点项目 福利全面”,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上"
228,运维开发工程师,12k-17k,Java,联通（广东）产业互联网...,[广州·官洲],“发展”,物联网 / 不需要融资 / 500-2000人
229,应用运维工程师,15k-20k,JAVA SQL MySQL ORACLE 金融 保险,华泰保险,[北京·丰台区],“行业前景良好 团队氛围和谐”,科技金融 / 不需要融资 / 2000人以上
230,运维开发工程师,30k-40k,Python C语言 GO Kubernetes(K8s) 程序化广告,Mobvista,[北京·朝阳区],“业务前景大，薪酬福利待遇好，成长上升空间大”,"营销服务｜咨询,数据服务｜咨询 / 上市公司 / 500-2000人"
