,job,money,skill,ink,area,jobDes,inkDes
170,dba数据库工程师,20k-35k,IT技术服务｜咨询 PostgreSQL(PSQL) MySQL,华云中盛,[深圳·南山区],“福利好 平台大”,"数据服务｜咨询,人工智能服务 / 不需要融资 / 500-2000人"
171,高级运维工程师-DBA(J10103),20k-40k,数据服务｜咨询 物流平台 Python Shell MySQL Linux SQL,中通快递,[上海·青浦区],“带薪年假 班车 宿舍 食堂 全额社保公积金等”,物流｜运输 / 上市公司 / 2000人以上
172,数据库研发工程师,25k-50k,电商平台 内容社区 C++ MySQL Linux redis /MongoDB,小红书,[北京·朝阳区],“六险一金 免费三餐 租房补贴”,"电商平台,内容社区 / D轮及以上 / 500-2000人"
173,DBA(QM2V),15k-30k,教育｜培训 Python MySQL Linux Unix MongoDB,思维造物,[北京·大望路],"“下午茶, 六险一金, 晋升空间大, 餐补”",工具类产品 / D轮及以上 / 500-2000人
174,数据库测试工程师,8k-15k,JAVA Python SQL,深算院,[深圳·龙华新…],“环境优美”,数据服务、人工智能 / 未融资 / 150-500人
175,数据库工程师（DBA）,20k-35k,物联网 MySQL ORACLE,深圳高新网,[深圳·龙岗区],“国企福利，丰富团建，健康体检，带薪年假”,"工具类产品,物联网,网络通信 / 不需要融资 / 150-500人"
176,DBA数据库工程师,16k-22k,专业服务｜咨询 MySQL,中兴新云,[长沙·望岳],“五险一金、发展潜力大、业务稳定”,软件服务｜咨询 / 不需要融资 / 500-2000人
177,数据库开发工程师,16k-25k,SQL Server MySQL ORACLE 保险,微创软件,[北京·洋泾],“发展前景 团队实力”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
178,dba运维,9k-13k,IT技术服务｜咨询 软件服务｜咨询 PostgreSQL(PSQL) MySQL DB2,赛意,[武汉·洪山区],“年终奖，项目补贴”,IT技术服务｜咨询 / 上市公司 / 2000人以上
179,DBA(R8315),20k-25k,智能硬件 物联网 MySQL Windows Python Shell Perl,Flexiv Robotics,[上海·闵行区],“高质量团队，高成长空间，扁平化管理”,智能硬件 / B轮 / 150-500人
180,时序数据库研发工程师-11,30k-45k,JAVA,用友,[北京·海淀区],“五险一金 餐补 交通补 体检 股权激励”,软件服务｜咨询 / 上市公司 / 2000人以上
181,数据库运维资深工程师,35k-45k,物流平台 MySQL,捷晓信息科技,[上海·青浦区],“五险一金”,"软件服务｜咨询,数据服务｜咨询,物流平台 / 未融资 / 500-2000人"
182,数据库管理\应用运维工程师,8k-15k,安全 CDN,海尔集团,[青岛·崂山区],“工程师”,物联网 / 上市公司 / 2000人以上
183,数据库工程师,15k-30k,科技金融 SQL MySQL ORACLE Linux,兴业数金,[上海·浦东新…],“六险一金、员工餐厅免费、带薪年假”,科技金融 / 不需要融资 / 500-2000人
184,数据库内核开发工程师,25k-50k,软件服务｜咨询 数据服务｜咨询 MySQL ORACLE SQL Server,创邻科技,[杭州·西湖区],“发展前景大，成长空间大、扁平化管理”,软件服务｜咨询 / A轮 / 50-150人
185,数据库测试工程师,15k-30k,软件服务｜咨询 MySQL ORACLE Linux 功能测试 自动化测试,万里开源,[北京·建国门],“发展前景广”,数据服务｜咨询 / 不需要融资 / 150-500人
186,dba,18k-30k,电商平台 软件服务｜咨询 MySQL Linux Hologres ES,万里牛,[杭州·西溪],“扁平化管理，超多技术人才共事，晋升机会等”,"软件服务｜咨询,数据服务｜咨询 / B轮 / 150-500人"
187,数据库开发工程师,12k-19k,金融业 科技金融 SQL Hadoop ORACLE DB2,联龙博通,[深圳·南油],“周末双休 五险一金”,科技金融 / 不需要融资 / 2000人以上
188,资深DBA,25k-45k,Python Oracle,饿了么,[上海·长征],“高并发、大数据量、海量实例”,消费生活 / D轮及以上 / 2000人以上
189,dba数据库工程师,15k-25k,软件服务｜咨询 IT技术服务｜咨询 ORACLE MySQL,新数科技,[深圳·科技园],“核心产品开发，行业前景好，上升机会多”,"软件服务｜咨询,IT技术服务｜咨询 / A轮 / 150-500人"
190,技术售前dba,15k-30k,软件服务｜咨询 数据服务｜咨询 ORACLE MySQL SQL Server,创邻科技,[深圳·福田区],“发展前景大，成长空间大、扁平化管理”,软件服务｜咨询 / A轮 / 50-150人
191,1141GO-Java开发工程师-数据库产品,15k-28k,六险一金 扁平化管理 丰厚年终 丰富技术交流,平安科技,[上海·浦东新…],“五险一金”,"科技金融,人工智能服务,软件服务｜咨询 / 上市公司 / 2000人以上"
192,dba/数据库管理员（北京）,22k-35k,金融业 MySQL PostgreSQL(PSQL),华云中盛,[北京·五道口],“五险一金，定期体检，通讯补贴，交通补贴，餐补”,"数据服务｜咨询,人工智能服务 / 不需要融资 / 500-2000人"
193,1141ES-云数据库工程师,18k-33k,DBA,平安科技,[深圳·南山区],“五险一金”,"科技金融,人工智能服务,软件服务｜咨询 / 上市公司 / 2000人以上"
194,数据库开发工程师,12k-18k,IT技术服务｜咨询 SQL Server MySQL ORACLE PostgreSQL(PSQL) Unix,亚信,[合肥·五里墩],“大数据技术应用场景广、团队文化氛围温馨”,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上"
195,oracle dba,20k-40k,数据库工程师,捷晓信息科技,[上海·青浦区],“五险一金 周末双休”,"软件服务｜咨询,数据服务｜咨询,物流平台 / 未融资 / 500-2000人"
196,运维开发dba/sre,25k-45k,营销服务｜咨询 MySQL,360,[北京·朝阳区],“氛围好、空间大”,"工具类产品,信息检索,信息安全 / 上市公司 / 2000人以上"
197,数据库运维工程师,12k-15k,电商平台 JAVA TCP/IP MySQL dba,酒小二,[南宁·江南区],“全国性的互联网电商平台”,"电商,消费生活 / 未融资 / 150-500人"
198,高级数据库工程师,25k-35k,SQL Server Windows ORACLE DBA MySQL 数据库管理员,中海科技,[深圳·南山区],“世界500强、地产科技、健全的薪酬福利体系”,软件服务｜咨询 / 不需要融资 / 50-150人
199,数据库服务 golang 后端开发工程师,20k-40k,C++ Linux 云计算 互联网 PaaS,UCloud,[上海·长阳路],“公司核心产品之一，大规模云计算服务”,人工智能服务 / 上市公司 / 500-2000人
200,dba工程师,15k-25k,金融业 电商平台 Oracle Mysql,广发银行信用卡中心,[广州·珠江新…],“平台稳定”,金融业 / 不需要融资 / 2000人以上
201,远程一线dba,15k-30k,电商平台 数据服务｜咨询 JAVA C语言 OGG,人大金仓,[北京·望京],“欢迎广大的DBA伙伴”,数据服务｜咨询 / 不需要融资 / 150-500人
202,数据库内核开发工程师,20k-35k,软件服务｜咨询 IT技术服务｜咨询 C++ Socket MySQL PostgreSQL(PSQL),亚信,[杭州·西湖],“上市公司”,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上"
203,运维工程师（DBA）,15k-25k,科技金融 数据服务｜咨询 Zabbix Nagios MySQL,微财数科,[北京·海淀区],“六险一金，薪资待遇好，年底双薪，地铁旁边”,科技金融 / 未融资 / 500-2000人
204,数据库管理工程师,14k-24k,软件服务｜咨询 JAVA,上海金蝶,[上海·浦东新…],“上市公司 管理规范”,软件服务｜咨询 / 上市公司 / 150-500人
