,job,money,skill,ink,area,jobDes,inkDes
176,c++工程师,15k-30k,IT技术服务｜咨询,,[北京·来广营],“国学传承、企业家氛围”,数据服务｜咨询 / 未融资 / 15-50人
177,IOS工程师,25k-40k,社交平台,添才翰格,[北京·大山子],“双休 15薪”,专业服务｜咨询 / 未融资 / 150-500人
178,前端开发工程师,15k-23k,IT技术服务｜咨询 Web前端开发,,[广州·番禺区],“双休”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 天使轮 / 150-500人"
179,Android安卓（西安）,15k-30k,IT技术服务｜咨询 软件服务｜咨询 C++ HTML React,,[成都·武侯区],“六险一金、周末双休不加班、知名外企技术新”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 上市公司 / 50-150人"
180,j30882 高级前端开发岗,27k-30k,软件服务｜咨询 Html5 CSS,,[北京·亦庄],“上市公司，六环内班车，六险二金，各种补贴”,软件服务｜咨询 / 未融资 / 少于15人
181,android开发工程师,25k-35k,IT技术服务｜咨询 JAVA,,[上海·静安区],“发展前景”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 不需要融资 / 2000人以上"
182,ios开发工程师,20k-30k,互联网,某知名互联网公司,[北京·酒仙桥],“上市公司 发展前景好”,
183,ios开发工程师,15k-25k,移动互联网,某大型互联网上市集团公司,[北京·大山子],“上市公司 发展前景好”,
184,高级前端开发工程师（ios）,15k-30k,音频｜视频媒体 网络通信,,[上海·金桥],“五险一金 双休”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 未融资 / 150-500人"
185,高级前端开发工程师（安卓）,15k-30k,音频｜视频媒体 网络通信 Android,,[上海·金桥],“五险一金 双休”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 未融资 / 150-500人"
186,前端开发工程师,15k-30k,软件服务｜咨询 JavaScript React 小程序开发 移动前端开发 Web前端开发,,[深圳·宝安区],“发展空间大， 需求多，不加班，”,"软件服务｜咨询,IT技术服务｜咨询,人工智能服务 / 天使轮 / 50-150人"
187,java开发工程师,25k-30k,IT技术服务｜咨询 在线医疗 Python Angular Spring MyBatis,脉聘猎头,[上海·嘉定区],“不加班，不出差”,"金融,电商 / 未融资 / 少于15人"
188,安卓开发工程师,35k-70k,电商平台 移动服务端开发,某大型互联网公司,[上海·张江],“不卷 加班强度一般”,
189,高级/资深iOS开发工程师-P4,30k-60k,网络通信 JAVA Python C语言,,[杭州·长河],“内部创业创新项目、空间大”,"工具类产品,数据服务｜咨询,专业服务｜咨询 / 未融资 / 150-500人"
190,高级前端开发工程师,20k-40k,工具类产品 React Linux,,[上海·闵行区],“绩效奖、开发奖”,专业服务｜咨询 / 未融资 / 50-150人
191,cto首席技术官,65k-90k,电商平台 社交平台 JAVA C++ 移动服务端开发 移动前端开发,,[杭州·西溪],“产品好，有发展前景”,专业服务｜咨询 / 未融资 / 500-2000人
