,job,money,skill,ink,area,jobDes,inkDes
100,高级硬件工程师,20k-30k,智能硬件 制造业 示波器 信号发生器 信号分析仪 Cadence orCAD,禾苗通信,[深圳·车公庙],“提供工作餐 福利人才房 五险一金 带薪假期”,硬件 / 上市公司 / 500-2000人
101,硬件工程师,10k-20k,智能硬件 ARM Altium 原理图设计 PCB EMC,北京纳通医疗技术有限公司,[北京·海淀区],“绩效工资 双休 大平台 福利丰富”,"数据服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 2000人以上"
102,结构助理工程师,5k-7k,智能硬件 物联网,农博创新NBI,[深圳·西丽],“餐补 车补 每年体检 下午茶 团建”,智能硬件 / 不需要融资 / 50-150人
103,硬件工程师,20k-35k,物联网 智能硬件 Linux Android,蜂助手,[深圳·南油],"“待遇优厚,团队活力,氛围活跃,成长平台”","物联网,网络通信 / D轮及以上 / 150-500人"
104,硬件工程师,15k-25k,工具类产品 PADS ARM 硬件开发,Snapmaker,[深圳·西丽],“发展前景，学习氛围，待遇优厚”,"IT技术服务｜咨询,智能硬件 / A轮 / 150-500人"
105,高级硬件工程师/硬件开发代表(J11063),30k-40k,智能硬件 ARM PADS orCAD,普渡科技,[深圳·南山区],“年终奖；技术文化”,智能硬件 / C轮 / 2000人以上
106,硬件工程师,10k-20k,物联网 示波器 信号发生器 信号分析仪 Cadence PADS,儒安物联,[上海·闵行区],“活力团队，规范企业；朝阳产业，前景无限。”,"数据服务,物联网 / 未融资 / 50-150人"
107,电驱硬件开发工程师(J11050),20k-40k,人工智能服务 智能硬件 示波器 机器人,普渡科技,[深圳·南山区],“机器人独角兽、行业赛道前景好”,智能硬件 / C轮 / 2000人以上
108,硬件工程师,10k-20k,制造业,ARTOM,[深圳·龙华新…],"“周末双休,福利待遇,高素质团队”",硬件 / A轮 / 15-50人
109,高级硬件工程师,20k-30k,智能硬件 制造业 示波器 信号发生器 信号分析仪 Cadence orCAD,禾苗通信,[深圳·车公庙],“提供工作餐 福利人才房 五险一金 带薪假期”,硬件 / 上市公司 / 500-2000人
110,硬件工程师,18k-25k,智能硬件 PADS 智能家居,TCL,[深圳·西丽],“行业前景好，工作氛围好，大平台”,"制造业,智能硬件 / 上市公司 / 2000人以上"
111,硬件工程师,15k-23k,智能硬件 制造业 MCU,禾苗通信,[深圳·车公庙],“提供午晚饭，人才公租房，带薪假期”,硬件 / 上市公司 / 500-2000人
112,结构工程师,10k-15k,智能硬件,Ximmerse,[深圳·科技园],“AR行业前景好 团队大牛多 双休 弹性工作”,智能硬件 / A轮 / 50-150人
113,机械结构工程师,15k-20k,智能硬件 制造业,欧必翼太赫兹,[北京·大兴区],“五险一金 项目奖金 双休 团队活动”,"硬件,软件开发 / 不需要融资 / 50-150人"
114,硬件工程师,13k-25k,人工智能服务 智能硬件 Cadence,七海行,[西安·雁塔区],“领导nice团队年轻有活力，管理宽松，追求效率”,"人工智能,通讯电子 / 不需要融资 / 50-150人"
115,高级硬件工程师,28k-50k,制造业 Cadence,儒竞智控,[上海·江湾],“新能源汽车 技术平台”,制造业 / 未融资 / 500-2000人
116,结构工程师,20k-40k,物联网 智能硬件,深圳市丰巢网络技术有限公司,[深圳·前海],“双休”,"物联网,物流平台,电商平台 / B轮 / 2000人以上"
117,硬件工程师,12k-18k,新能源汽车制造 智能硬件 示波器,一清创新科技,[深圳·科技园],“无人驾驶 晋升空间”,"人工智能,汽车丨出行 / A轮 / 150-500人"
118,高级硬件工程师,15k-25k,软件服务｜咨询 智能硬件 C++ CPCI,中电普信,[长沙·四方坪],“氛围好 提升快”,IT技术服务｜咨询 / B轮 / 150-500人
119,硬件工程师,15k-25k,智能硬件 万用表 PCB,智神信息技术,[深圳·坂田],“职能硬件研发，周末双休”,智能硬件 / 未融资 / 500-2000人
120,硬件工程师,10k-20k,制造业,ARTOM,[深圳·龙华新…],"“周末双休,福利待遇,高素质团队”",硬件 / A轮 / 15-50人
121,高级硬件工程师,20k-30k,智能硬件 制造业 示波器 信号发生器 信号分析仪 Cadence orCAD,禾苗通信,[深圳·车公庙],“提供工作餐 福利人才房 五险一金 带薪假期”,硬件 / 上市公司 / 500-2000人
122,硬件工程师,18k-25k,人工智能服务 智能硬件 Cadence Altium PADS orCAD Protel,测测,[北京·海淀区],“技术成长空间大、行业前景好”,工具类产品 / B轮 / 150-500人
123,硬件工程师,12k-20k,ARM DSP FPGA,海尔集团,[青岛·崂山区],“工程师”,物联网 / 上市公司 / 2000人以上
124,硬件工程师,10k-20k,人工智能服务 智能硬件 示波器 万用表,阿科伯特机器人,[深圳·南山区],“行业好”,人工智能服务 / A轮 / 50-150人
125,高级硬件开发工程师,20k-30k,IT技术服务｜咨询 软件服务｜咨询 示波器,白云信息科技有限公司,[广州·人和],“五险二金、福利保障、大型国企”,其他 / 不需要融资 / 150-500人
126,嵌入式硬件工程师,20k-35k,物联网 C语言 C++ Linux ARM 智能机器人,能创科技,[北京·顺义区],“核心开发岗位，成就感”,移动互联网 / 未融资 / 50-150人
127,硬件工程师,15k-25k,制造业 Cadence Altium orCAD,蓝箭航天,[上海·闵行区],“航天行业，创业公司”,"制造业,能源｜矿产｜环保 / C轮 / 500-2000人"
128,高级硬件开发工程师（交流）,25k-35k,智能硬件 人工智能服务 ARM 伺服驱动器 变频器 逆变器 交流伺服,行动元,[深圳·南山区],“人工智能行业，团队大牛多，氛围好，机会多”,智能硬件 / 天使轮 / 50-150人
129,硬件加速参考模型研发工程师,25k-50k,后端开发,字节跳动,[北京·海淀区],"“晋升空间大,扁平管理,用户过亿,下午茶”","内容资讯,短视频 / D轮及以上 / 2000人以上"
130,air硬件部_嵌入式驱动软件开发工程师(j47341),20k-35k,智能硬件 Linux,百度,[北京·西二旗],“自动驾驶”,"人工智能服务,信息检索,科技金融 / 上市公司 / 2000人以上"
131,高级硬件工程师,15k-30k,硬件开发,字节跳动,[青岛·崂山区],"“下午茶,健身瑜伽,六险一金,团队氛围好”","内容资讯,短视频 / D轮及以上 / 2000人以上"
132,硬件工程师,25k-35k,人工智能服务 物联网 Linux ARM Cadence PADS Protel,火星人集成灶,[杭州·上塘],“20天带薪休假，五险一金，福利齐全”,其他 / 上市公司 / 2000人以上
133,高级硬件工程师,20k-40k,智能硬件 人工智能服务 ARM STM32 硬件设计,高仙机器人,[苏州·工业园…],“前景好，发展好，福利好”,智能硬件 / C轮 / 500-2000人
134,高级硬件工程师,15k-25k,CPU 医疗器械研发 PCB EMC测试 原理图 电路设计,心吉康,[成都·高新区],“六险一金、周末双休、节日福利、生日福利”,生活服务 / A轮 / 50-150人
135,结构工程师,13k-26k,物联网 智能硬件,http://www.xbrother.com/,[深圳·光明新…],“领导好 业务好”,"软件服务｜咨询,数据服务｜咨询 / 不需要融资 / 500-2000人"
136,高级结构工程师（智能硬件类）,15k-30k,模具设计,小燕科技,[上海·张江],“行业好、高增长、下午茶、股票期权”,智能硬件 / A轮 / 15-50人
137,硬件工程师,10k-15k,物联网 智能硬件 PADS Protel Allegro 电路板设计 射频电路调试,海澜智云（上海）数据,[上海·五角场],“13薪 饭补”,"物联网,软件服务｜咨询,IT技术服务｜咨询 / 未融资 / 50-150人"
138,高级硬件工程师,20k-30k,智能硬件 制造业 示波器 信号发生器 信号分析仪 Cadence orCAD,禾苗通信,[深圳·车公庙],“提供工作餐 福利人才房 五险一金 带薪假期”,硬件 / 上市公司 / 500-2000人
139,高级硬件工程师,40k-60k,科技金融 C++ Linux Unix,京东科技,[北京·通州区],“广阔的发展前景”,科技金融 / 上市公司 / 2000人以上
140,硬件工程师,15k-30k,人工智能服务 频谱仪 PCB设计 电路设计,之江实验室,[杭州·余杭区],“机器人中心”,智能硬件 / 不需要融资 / 500-2000人
141,硬件工程师,15k-25k,网络通信 C语言,源加壹,[成都·抚琴],“国企”,软件服务｜咨询 / 不需要融资 / 50-150人
142,硬件工程师,20k-40k,智能硬件,道通科技,[深圳·南山区],“奖金高、团队氛围好”,智能硬件 / D轮及以上 / 500-2000人
