,tag,job,low_wages,hight_wages,year_wages,city,ink,staff,skill,jobDes,inkDes
730,2,web前端开发工程师,11.0,22.0,198.0,上海,微创软件,2000,"HTML,CSS,React,Vue","技术能力提升,舒适的办公环境","IT技术服务,咨询,不需要融资"
731,2,web前端开发工程师,14.0,20.0,204.0,广州,CLPS,2000,IT,"福利待遇高,发展前景好","软件服务,咨询,上市公司"
732,2,web前端工程师,10.0,15.0,150.0,广州,百德朗,150,"JavaScript,Html,CSS,Vue","六险一金,商业保险,团队旅游,扁平化管理","智能硬件,未融资"
733,2,web前端开发工程师,15.0,25.0,240.0,深圳,易流,2000,"JavaScript,Html","平台大,氛围良好,机会多,奖金多多","软件服务,咨询,IT技术服务,咨询,不需要融资"
734,2,电商web前端开发工程师,20.0,40.0,360.0,上海,小红书,2000,"JAVA,Vue,Spring","免费三餐,团队氛围好","电商平台,内容社区,D轮及以上"
735,2,前端开发工程师,9.0,14.0,138.0,成都,华栖云,500,"React,Vue",,"人工智能服务,IT技术服务,咨询,B轮"
736,2,web前端开发工程师,10.0,15.0,150.0,上海,昀活科技,50,Vue,"国家高新技术企业,技术领先型公司","IT技术服务,咨询,未融资"
737,2,web前端开发工程师,10.0,16.0,156.0,北京,慧博云通,2000,"JavaScript,HTML,React,Vue",反馈快,"IT技术服务,咨询,未融资"
738,2,前端开发工程师,11.0,18.0,174.0,武汉,吉威时代,2000,"IT,Vue","大牛云集,福利补贴","IT技术服务,咨询,不需要融资"
739,2,web前端开发工程师 (MJ002052),23.0,46.0,414.0,广州,YY,2000,MCN,"大平台,福利好","社交媒体,上市公司"
740,2,web前端开发工程师,10.0,15.0,150.0,上海,上海意鹰信息技术有限公司,500,"IT,JavaScript,Html,Vue","福利,奖金,股权激励,双休,团建,体检,旅游","IT技术服务,咨询,B轮"
741,2,web前端开发工程师,10.0,20.0,180.0,北京,普华讯光,500,"IT,JavaScript,HTML,CSS,Vue",大型国企项目,"IT技术服务,咨询,未融资"
742,2,web前端开发工程师,12.0,17.0,174.0,深圳,汇合,2000,,季度绩效奖金,"科技金融,不需要融资"
743,2,web前端开发工程师（金蝶云星空）,17.0,30.0,282.0,深圳,金蝶,2000,"React,Vue","大平台,集团总部团队","软件服务,咨询,上市公司"
744,2,前端开发工程师,15.0,20.0,210.0,深圳,零点星,150,"IT,Html,Vue","升职空间大,弹性工作时间,以结果为导向","文娱丨内容,广告营销,A轮"
745,2,web前端开发工程师,11.0,22.0,198.0,上海,微创软件,2000,"HTML,CSS,React,Vue","技术能力提升,舒适的办公环境","IT技术服务,咨询,不需要融资"
746,2,web前端开发工程师,14.0,20.0,204.0,广州,CLPS,2000,IT,"福利待遇高,发展前景好","软件服务,咨询,上市公司"
747,2,web前端开发工程师（银行）,13.0,18.0,186.0,西安,京北方,2000,IT,银行项目,"IT技术服务,咨询,上市公司"
748,2,初级web前端开发工程师,6.0,10.0,96.0,武汉,中慈网络,2000,"JavaScript,HTML,CSS,React,Angular","发展前景优,团队氛围好","企业服务,工具,通讯电子,不需要融资"
749,2,web前端开发,12.0,24.0,216.0,广州,联通（广东）产业互联网...,2000,"IT,JavaScript,HTML,React,Vue",成长快,"物联网,不需要融资"
750,2,web前端开发工程师,14.0,20.0,204.0,广州,中移互联网,2000,"JavaScript,Vue,MySQL","国企正编,福利待遇好,平台资源大","网络通信,不需要融资"
751,2,web前端工程师,20.0,40.0,360.0,深圳,其域创新,150,"IT,JavaScript,Web,Three,js","高效团队,六险一金,股票期权","IT技术服务,咨询,人工智能服务,天使轮"
752,2,web前端开发工程师,16.0,22.0,228.0,上海,易居房友,2000,"TypeScript,React,Node,js","上市公司,平台大,福利好","居住服务,上市公司"
753,2,UE/Web前端开发工程师,12.0,17.0,174.0,成都,成都聚思力信息技术有限公司,2000,"IT,JavaScript,Redux,React,ES","天年假,医疗报销,旅游津贴","IT技术服务,咨询,上市公司"
754,2,Web前端开发工程师,12.0,20.0,192.0,广州,广州有信科技有限公司,500,"JavaScript,Html,HTML,Javascript,Vue","技术大牛,六险一金,周末双休,部门团建","软件服务,咨询,数据服务,咨询,B轮"
755,2,web前端开发工程师（免费住宿，五险一金，上市背景）,11.0,17.0,168.0,太原,屹通信息,2000,Vue,"免费住宿,上市背景,报销路费,薪酬高于市场","金融,数据服务,上市公司"
756,2,web前端开发工程师,25.0,50.0,450.0,北京,ABOUT TIME,150,"JavaScript,React",薪资待遇好,"生活服务,天使轮"
757,2,web前端开发工程师,10.0,15.0,150.0,杭州,钛牛科技,50,"Html,CSS,React,Vue","公司年轻有活力,团队氛围轻松","批发,零售,贸易,进出口,天使轮"
758,2,web前端开发工程师,10.0,15.0,150.0,郑州,UU跑腿,2000,Vue,"五险一金,带薪年假,节日福利,免费体检等","生活服务,B轮"
759,2,web前端开发工程师,10.0,20.0,180.0,长沙,水羊,2000,"Vue,JavaScript,uniapp","薪酬福利好,学习成长快","新零售,电商平台,上市公司"
760,2,web前端开发工程师,15.0,25.0,240.0,武汉,招商证券金融科技中心,2000,"JAVA,JavaScript,CSS,React,Vue","金融科技,头部券商,研发数字化转型","金融业,上市公司"
761,2,web前端开发（react）,13.0,25.0,228.0,广州,衣神科技,50,"JavaScript,HTML,CSS","不内卷,周末双休,不加班","移动互联网,不需要融资"
762,2,Web前端开发工程师,25.0,35.0,360.0,深圳,数位大数据科技,500,"JavaScript,HTML,CSS,Vue","扁平化,下午茶,福利多,弹性,发展前景好","人工智能服务,C轮"
