,job,money,skill,ink,area,jobDes,inkDes
139,人工智能算法工程师,20k-40k,人工智能服务 软件服务｜咨询 C++,,[北京·朝外],“国央企单位”,"软件服务｜咨询,专业服务｜咨询,IT技术服务｜咨询 / 未融资 / 50-150人"
140,人工智能算法工程师,35k-55k,人工智能服务 C++ C语言 Python 深度学习,,[北京·燕莎],“有图像相关技术开发和软硬件系统搭建经验”,专业服务｜咨询 / 上市公司 / 2000人以上
141,人工智能专业岗,25k-50k,航天 军工 航天 军工,某知名企业,[北京·西北旺],“央企，福利待遇领先”,
142,【NetEase杭州】人工智能研究员-视觉计算方向,25k-50k,工具类产品 图像｜视频处理,,[杭州·余杭区],“福利待遇”,"工具类产品,专业服务｜咨询 / 不需要融资 / 15-50人"
143,人工智能研究员,50k-100k,游戏 影视｜动漫 C++ JAVA Python 深度学习 图像｜视频处理,,[成都·锦江区],“上市公司”,"科技金融,人工智能服务,IT技术服务｜咨询 / 未融资 / 15-50人"
144,人工智能工程师,20k-40k,自然语言处理 航空航天,,[北京·西北旺],“【中国航天科技集团第九研究院九部】猎头岗位”,专业服务｜咨询 / 未融资 / 500-2000人
145,人工智能算法工程师,35k-55k,新能源汽车制造 Python C++,,[深圳·福田区],“国企编制 不卷稳定”,"工具类产品,专业服务｜咨询 / 未融资 / 150-500人"
146,人工智能算法高级主任,65k-90k,人工智能服务 新能源汽车制造 自然语言处理 深度学习 自动驾驶,某知名企业,[广州·五山],“主机厂前瞻部”,
147,人工智能算法工程师,25k-50k,智能硬件 人工智能服务 C语言 C++ Python SQL JAVA,,[北京·西北旺],“六险一金，国企，稳定中有发展，发展空间大”,专业服务｜咨询 / 未融资 / 500-2000人
148,人工智能系统软件架构师,40k-80k,人工智能服务 C++ Python,,[北京·中关村],“公司氛围好，成长空间大”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 不需要融资 / 15-50人"
