,job,money,skill,ink,area,jobDes,inkDes
113,java开发工程师,14k-20k,IT技术服务｜咨询 软件服务｜咨询 Spring MySQL,易立德,[佛山·乐从],“周末双休 年终奖 加班费”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
114,java开发工程师,10k-20k,软件服务｜咨询 IT技术服务｜咨询 Spring MyBatis MySQL,天天数链,[北京·东城区],“可居家办公 年龄不设上限”,"软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 150-500人"
115,java开发工程师,20k-30k,IT技术服务｜咨询 软件服务｜咨询 Spring SQL Server MySQL 移动服务端开发,深圳穗彩,[深圳·南山区],“大牛团队 福利好 氛围好”,IT技术服务｜咨询 / 上市公司 / 150-500人
116,java后端开发工程师,20k-35k,电商平台 工具类产品,IntraMirror,[上海·普陀区],“大团队，核心业务”,"电商平台,新零售 / B轮 / 150-500人"
117,后端开发工程师,15k-22k,医疗｜保健｜美容 区块链 JAVA C++ Python C语言,牛津区块链研究院,[海口·美兰区],“重点园区，亿级项目，区块链创新应用”,区块链 / 不需要融资 / 150-500人
118,java开发工程师,13k-22k,金融业 Spring MyBatis MySQL 分布式 中间件,中电金信,[北京·广内大…],“银行金融行业”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
119,后端开发工程师,30k-60k,工具类产品 JAVA 云平台 node,欧福恩,[北京·亚运村],“不加班、前景好”,人工智能服务 / 不需要融资 / 50-150人
120,java开发工程师,18k-35k,物流平台,捷晓信息科技,[上海·青浦区],“高并发、大数据量、分布式、团建、团队年轻”,"软件服务｜咨询,数据服务｜咨询,物流平台 / 未融资 / 500-2000人"
121,java开发工程师,20k-40k,IT技术服务｜咨询,裕泽商务服务,[上海·闵行区],“五险一金 生活补贴 15薪 周末双休绩效年终奖”,"营销服务｜咨询,专业服务｜咨询 / 未融资 / 15-50人"
122,java开发工程师,12k-18k,人工智能服务 物联网,博彦科技,[杭州·西溪],“上市企业、五险一金、周末双休”,"人工智能服务,软件服务｜咨询,数据服务｜咨询 / 上市公司 / 2000人以上"
123,java开发工程师,15k-20k,物联网 农林牧渔 MySQL IDEA,大田农社,[北京·海淀区],“房交通补、父母子女金、五险一金、周末双休”,移动互联网 / 未融资 / 150-500人
124,java开发工程师,12k-23k,软件服务｜咨询 金融业 Socket Spring MyBatis,中电金信,[上海·浦东新…],“金融支付”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
125,java开发工程师,18k-30k,软件服务｜咨询 SQL,万里牛,[杭州·西湖区],“晋升 培训”,"软件服务｜咨询,数据服务｜咨询 / B轮 / 150-500人"
126,java开发工程师,15k-20k,游戏 社交媒体,贪玩游戏,[杭州·萧山区],“项目奖金 五险一金 包三餐”,游戏 / D轮及以上 / 500-2000人
127,java开发工程师,8k-15k,IT技术服务｜咨询 金融业 Vue Spring MyBatis ORACLE,中科软,[上海·金桥],“五险一金、每年两次调薪、旅游、体检、年终奖等”,IT技术服务｜咨询 / 上市公司 / 2000人以上
128,java开发工程师,25k-35k,智能硬件 Netty TCP/IP SpringBoot K8S,云鲸智能,[深圳·南山区],“年终奖金 扁平管理 年度体检 晋升空间”,硬件 / C轮 / 150-500人
129,java开发工程师,13k-26k,科技金融 IT技术服务｜咨询 Python MySQL ORACLE Linux,汇合,[深圳·西丽],“互联网金融 大平台 项目多样 技术紧跟趋势”,科技金融 / 不需要融资 / 2000人以上
130,java开发工程师,15k-25k,工具类产品,杰成合力,[深圳·南山区],“晋升快”,软件服务｜咨询 / 不需要融资 / 50-150人
131,java开发工程师,18k-25k,IT技术服务｜咨询 Spring Tomcat,微创软件,[深圳·新安],“大厂平台”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
132,java开发工程师,9k-18k,IT技术服务｜咨询 科技金融,开科唯识,[石家庄],“银行 稳定”,软件服务｜咨询 / C轮 / 500-2000人
133,Java开发工程师,15k-28k,科技金融 Spring MyBatis ORACLE,浙江保融,[杭州·余杭区],“不定期团建，五险一金”,科技金融 / 不需要融资 / 500-2000人
134,Java开发工程师,10k-18k,软件服务｜咨询 JavaScript Spring MyBatis IT技术服务｜咨,广州南天,[广州·珠江新…],"“五险一金,周末双休,节日礼品,年度体检”",IT技术服务｜咨询 / 上市公司 / 500-2000人
135,后端开发工程师,20k-30k,电商平台 JAVA Python GO MySQL Linux,Shopee,[海外·海外],“充满活力和协作的办公环境”,电商平台 / 上市公司 / 500-2000人
136,Java开发工程师,15k-25k,电商平台 物流平台 JavaScript Spring MySQL,塞勒斯,[深圳·西乡],“试用期薪资不打折 五险一金 季度奖金”,新零售 / A轮 / 150-500人
137,java开发工程师,15k-20k,银行,赞同科技,[深圳·新洲],“年终奖”,"软件服务｜咨询,数据服务｜咨询 / 不需要融资 / 2000人以上"
138,java开发工程师,25k-45k,科技金融,,[北京],“双休 不加班”,工具类产品 / 上市公司 / 500-2000人
139,Java开发工程师,15k-30k,科技金融 Spring MySQL Web后端开发 Tomcat 国际结算清算,兴业数金,[上海·唐镇],“金融科技引领时代潮流”,科技金融 / 不需要融资 / 500-2000人
140,java开发工程师,15k-25k,IT技术服务｜咨询 科技金融 MySQL ORACLE JDK SpringMvc,微众信科,[北京·海淀区],“弹性时间 大牛多 奖金多”,"IT技术服务｜咨询,人工智能服务 / D轮及以上 / 150-500人"
141,JAVA开发工程师,12k-17k,软件服务｜咨询,Aspentech,[上海·浦东新…],“试用期全额 补充医疗保险 不打卡 带薪年假”,软件服务｜咨询 / 上市公司 / 500-2000人
142,java开发工程师,13k-22k,金融业 Spring MyBatis MySQL 分布式 中间件,中电金信,[北京·广内大…],“银行金融行业”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
143,java开发工程师,15k-25k,软件服务｜咨询 IT技术服务｜咨询 MyBatis Spring,地平线云数科技,[北京·朝阳区],“大牛带队，试用期不打折，加班少，团队好，双休”,"数据服务｜咨询,人工智能服务,软件服务｜咨询 / 天使轮 / 少于15人"
144,java开发工程师,15k-20k,IT技术服务｜咨询 物联网,法本信息,[杭州·西溪],“大神带教薪资高”,"人工智能服务,IT技术服务｜咨询 / 上市公司 / 2000人以上"
145,java开发工程师,9k-18k,IT技术服务｜咨询 科技金融,开科唯识,[石家庄],“银行 稳定”,软件服务｜咨询 / C轮 / 500-2000人
146,Java开发工程师,15k-28k,科技金融 Spring MyBatis ORACLE,浙江保融,[杭州·余杭区],“不定期团建，五险一金”,科技金融 / 不需要融资 / 500-2000人
147,后端开发工程师,25k-50k,人工智能服务 IT技术服务｜咨询 C++ GO,商汤科技,[上海·徐家汇],“大平台、大神多、福利待遇好”,"人工智能服务,IT技术服务｜咨询 / 上市公司 / 2000人以上"
148,java开发工程师,20k-40k,软件服务｜咨询 IT技术服务｜咨询 MySQL ORACLE Elastic Search,泛微,[上海·浦江],“上市公司、朝九晚六、腾讯投资、行业top”,软件服务｜咨询 / 上市公司 / 2000人以上
149,java软件开发工程师,12k-24k,科技金融,招银网络科技,[杭州·滨江区],“发展前景高、团队技术氛围浓厚”,科技金融 / 不需要融资 / 2000人以上
150,Java开发工程师,15k-25k,电商平台 物流平台 JavaScript Spring MySQL,塞勒斯,[深圳·西乡],“试用期薪资不打折 五险一金 季度奖金”,新零售 / A轮 / 150-500人
151,iot后台软件开发工程师,13k-22k,物联网 智能硬件 JAVA PL/SQL Spring,合一智控,[深圳·科技园],“负责前沿的物联网产品后台研发”,"物联网,智能硬件 / 天使轮 / 15-50人"
152,java后端开发工程师,9k-18k,软件服务｜咨询 数据服务｜咨询 MyBatis MySQL Web后端开发,中冶赛迪数字,[成都·武侯区],“央企实力，工业互联网，薪酬福利有竞争力”,"企业服务,工具,物联网 / 不需要融资 / 15-50人"
153,java开发工程师,15k-30k,软件服务｜咨询,用友金融,[北京·月坛],“福利健全 大平台”,IT技术服务｜咨询 / 上市公司 / 2000人以上
154,java开发工程师,20k-23k,软件服务｜咨询 金融业,开科唯识,[北京·西北旺],“金融”,软件服务｜咨询 / C轮 / 500-2000人
155,java开发工程师,15k-25k,IT技术服务｜咨询,上海淳南信息技术有限公司,[上海·洋泾],“发展前景好”,"软件服务｜咨询,人工智能服务,IT技术服务｜咨询 / 未融资 / 15-50人"
