,job,money,skill,ink,area,jobDes,inkDes
42,测试工程师,5k-8k,IT技术服务｜咨询 功能测试 性能测试 兼容性测试 Jmeter MySQL 医药行业,衡泽软件,[成都·双流县],“团队作战 前景广阔”,工具类产品 / 未融资 / 50-150人
43,测试工程师,14k-16k,科技金融 金融业 Python Linux 自动化测试 Jmeter mysql,广州华工弈高,[广州·珠江新…],“调薪、周末双休、五险一金、年终奖”,其他 / 未融资 / 50-150人
44,测试工程师,11k-16k,软件服务｜咨询 MySQL Linux 功能测试 自动化测试,契约锁,[上海·闵行区],“上市公司“泛微软件”投资；包三餐双休”,工具类产品 / C轮 / 500-2000人
45,测试工程师,5k-8k,电商平台 自动化测试 Loadrunner Jmeter 性能测试 测试开发 Web测试,马来西亚东南亚玩家商城股份有限公司成都代表处,[成都·成华区],"“六险一金,带薪年假,周末双休,节日福利”",电商平台 / 未融资 / 50-150人
46,测试工程师,6k-12k,工具类产品 软件服务｜咨询 功能测试 性能测试 黑盒测试 白盒测试,同视未来,[西安·高新技…],“六险一金 双休 领导好 空间大”,工具类产品 / 不需要融资 / 50-150人
47,测试工程师,6k-9k,人工智能服务 软件服务｜咨询 功能测试 性能测试 黑盒测试 白盒测试,华栖云,[成都·高新区],“IPO”,"人工智能服务,IT技术服务｜咨询 / B轮 / 150-500人"
48,测试经理 QA manager,25k-35k,测试管理,skyroam,[深圳·南山区],“发展前景”,IT技术服务｜咨询 / C轮 / 150-500人
49,测试工程师,9k-15k,科技金融 自动化测试,汇合,[深圳·科技园],“技术大牛团队 项目稳定”,科技金融 / 不需要融资 / 2000人以上
50,测试工程师,12k-14k,新能源汽车制造 Python 性能测试 自动化测试 Jmeter Postman,人瑞,[武汉·汉阳区],“造车新势力头部企业，薪资福利Nice~”,专业服务｜咨询 / 上市公司 / 2000人以上
51,测试工程师,10k-18k,软件服务｜咨询 物联网 功能测试 性能测试 白盒测试 自动化测试,深圳穗彩,[深圳·南山区],“周末双休 五险一金 补贴”,IT技术服务｜咨询 / 上市公司 / 150-500人
52,测试工程师,6k-10k,营销服务｜咨询 科技金融 Loadrunner Jmeter Python 功能测试 接口测试,广州趣米网络,[广州·元岗],“周末双休 上班不打卡 年度旅游 五险一金”,营销服务｜咨询 / A轮 / 150-500人
53,测试工程师,11k-18k,功能测试 性能测试 自动化测试 Jmeter 银行,京北方,[北京·万寿寺],“五险一金”,IT技术服务｜咨询 / 上市公司 / 2000人以上
54,测试工程师,10k-18k,IT技术服务｜咨询 软件服务｜咨询 JAVA Python 功能测试 性能测试,京北方,[广州·东圃],“上市集团，待遇齐全，双休，稳定性好，远程面”,IT技术服务｜咨询 / 上市公司 / 2000人以上
55,测试工程师,16k-25k,内容资讯 分类信息 Python JAVA Linux 自动化测试 SQL Server,北京瑞友,[上海·北新泾],“外企氛围 五险一金基数全额 18天带薪年病假”,人工智能服务 / 上市公司 / 2000人以上
56,自动化测试工程师/Software QA Engineer,14k-20k,IT技术服务｜咨询 软件服务｜咨询 iOS Android 安全测试 app测试 移动端,活跃网络,[成都·锦江区],“不打卡 15-25天年假 技术流 国际化环境”,IT技术服务｜咨询 / 上市公司 / 500-2000人
57,Software QA Engineer/软件测试工程师,16k-20k,IT技术服务｜咨询 软件服务｜咨询 Python iOS Android 自动化测试,活跃网络,[成都·锦江区],“国际化环境 超长年假 技术流 氛围轻松不加班”,IT技术服务｜咨询 / 上市公司 / 500-2000人
58,测试工程师,20k-40k,网络通信 Python,刀豆网络,[杭州·西兴],“大厂 五险一金”,"电商,文娱丨内容 / A轮 / 15-50人"
59,测试工程师,10k-15k,社交平台 MCN｜直播平台 Jmeter 禅道 功能测试 性能测试 自动化测试,千音科技,[广州·天河区],“周末双休、五险一金、节日福利、绩效奖金、包餐”,人工智能服务 / 不需要融资 / 150-500人
60,测试工程师,8k-13k,IT技术服务｜咨询 Linux 功能测试 Docker,NCS,[成都·高新区],“六险一金 带薪年假 弹性工作 定期体检”,"IT技术服务｜咨询,数据服务｜咨询 / 不需要融资 / 500-2000人"
61,测试工程师,5k-8k,IT技术服务｜咨询 功能测试 性能测试 兼容性测试 Jmeter MySQL 医药行业,衡泽软件,[成都·双流县],“团队作战 前景广阔”,工具类产品 / 未融资 / 50-150人
62,测试工程师,15k-20k,电商平台 人工智能服务 JAVA C语言 Python JavaScript Html5,乐翻圈,[东莞·东莞市…],“前景好、项目发展快、工作稳定。”,
63,测试工程师,11k-16k,软件服务｜咨询 MySQL Linux 功能测试 自动化测试,契约锁,[上海·闵行区],“上市公司“泛微软件”投资；包三餐双休”,工具类产品 / C轮 / 500-2000人
64,测试工程师,10k-20k,软件服务｜咨询 功能测试 JAVA Vue MySQL 性能测试,致创科技,[佛山·南海区],“对员工终身成长和稳定负最后的责任”,软件服务｜咨询 / 未融资 / 50-150人
65,测试工程师,15k-30k,游戏 社交平台 功能测试 性能测试 白盒测试 自动化测试 兼容性测试,Ola,[武汉·洪山区],“优秀的研发团队”,社交平台 / 不需要融资 / 500-2000人
66,qa测试工程师,10k-20k,IT技术服务｜咨询 JAVA Python 功能测试 自动化测试,中电金信,[上海·张江],“13薪，六险一金全额，周末双休，弹性工作”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
